amount,text_id,text
1,14205200,Сниму жилье. 500-600 рублей сутки. Эконом класса. Заезд 18.06. На 9-10 дней. На одного человека.
5,319097075,"ищем жилье в центре недалеко от моря с 23.07-03.08 - нужен 1 двухместный номер, 1 трехместный, недорого. или как вариант дом на 2 семьи (5 чел)"
7,98881311,Ищем жилье на период с 18-28июля..на две семьи 4взрослых 3 детей. .1500-2000в сутки за номер
6,44587027,"2 семьи по 3 человека (2 взрослых и ребенок) с 01.09-13.09 снимем жильё в пределах 5 минут от пляжа, 1500 руб/сутки. Рассмотрим все варианты."
6,352802829,Сниму недорогое жилье в лазаревском на 6 чел 3 взр и 3 дет 30.07-09.08
2,52157605,"Ищем жилье на двоих с 7.08-14.08 . Ближе к центру и к моречку. (Wi-fi, кондиционер)"
2,408430986,"Сниму жильё в Аше ( на улице Репина)
С 16/29 июля 
2х местный писать в лс)"
4,176294447,Снимем жилье с 30.06-7.07 Два взрослых и 2детей(7 и 11лет). Недалеко от моря.
4,150296790,Снимем жильё с 30 июня по 7 июля 3 взрослых и ребёнок
3,120627580,"Сниму не дорогое жилье 1 взрослый и 2 ребенка ( 9 лет и 5 лет). Примерно с 10 июля, на 20 дней. Спасибо"
4,447606306,"Добрый день! Ищем жильё (гостевой дом) с парковкой в Лазаревском, планируем приезд 5-6 августа на 7 дней, двое взрослых и двое детей (16 и 2 г) не далеко от моря. Рассмотрим ваши предложения!"
3,6705832,"Здравствуйте.Снимем жилье с 12.07 по 17.07
 2 взрослых и 1 ребенок 6 лет,со всеми удобствами недалеко от моря. Приезд в час ночи."
5,98410800,"Ищем жилье! 2взрослых и 3 ребенка ( 6,6 и 4 года) можно 2 двухспалки,недалеко от центра и моря,эконом! С 11.07 по 23.07."
5,89356440,"Здравствуйте! Ищем жильё для 2 взрослых и 3 детей (17,5,,2) в период с 1.08.2018,на 10 дней,недорого."
6,8267186,"Здравствуйте! Ищем жильё для 2 взрослых и 4 детей (8,5,4,2) в период с 29.05.2018 по 09.06.2018 года с кухней, недалёко от моря! Предложения в л/с"
4,12546114,"Здравствуйте ! Ищем жилье в Лазаревском 4 человека, с бассейном с 1.08 по 12.08!"
2,127719493,Ищем жильё рядом с морем . На 2 взрослого..конец июля начало августа .. на 10 дней. 1000-1500₽
4,65977922,"Ищем жильё с15.06 на 2 недели 2 взрослыми 2 детей , не далеко от моря ,не дорого можно квартиру и т д ?"
2,58833820,"Добрый вечер! Ищем жилье на 2 человек, с 3 сентября на 7 дней."
6,42581032,Добрый вечер! ищем жилье на отдых с 16-29 августа.на 6 человек...
3,-158709235,Снимем эконом жилье в Лазаревском около моря и парка с 14 по 17 июля на 2 взрослых и один ребенок 12 лет. Квартира не интересует!
4,109591148,"Ищем жильё на 4 взрослых с 31.08.18 по 07.08.18, желательно центр"
2,98770155,"Снимем жильё с 1.09по 8.09 двухместный,су в номере ,олимпийская деревня или рядом ,предложения в лс."
4,123854173,"Здравствуйте, интересует жилье,с 18 августа по 24 ,два взрослых,и дети 3 года и 4 месяца?"
3,28102570,Добрый день! Срочно ищем жилье с 13.06 по 20.06 нас 3  человека(все взрослые). Желательно с удобствами в номере. У Вас есть какие-нибудь варианты? Спасибо
2,1253439,"Ищем жилье в самом Лазаревском для двоих, 2-местный номер с удобствами, с 7-8 сентября не менее чем на неделю, 700 р. за номер"
6,409704480,"Добрый день! Ищем жильё в п.Лазаревская с 5.09 по по 17.09  4 взрослых и два ребёнка.
Ждём предложения в л.с."
3,112939206,"Муж, жена и 3,5 г. Ребенок,ищем жилье в Лазаревском, частный сектор. Не дорого. Числа с 24_25 июля на 5-7 дней. Писать ЛС. Желательно рядом с морем"
4,6622223,"Здравствуйте!снимем жильё в самом Лазаревском ,ищем недорогой стандарт или эконом !!с 18 июля на 10 дней !!!нужны 2 номера по 2 человека"
3,45915115,Ищем жильё 2 взрослых и ребёнок 6 лет. С 8 июля по 21 июля
6,28995748,"Ищем недорогое жилье недалеко от моря. 3-местный и 2-местный эконом. 3 взрослых и 3 детей (2,9,11 лет). Строго с 20 по 30 июля"
2,137402178,"Здравствуйте,ищем жилье. 2х местный номер,с удобствами. с 17.07 по 27.07."
4,17343293,"Здравствуйте,ищем жильё 😊
Лазоревское с 29.06. По 25.07. 4чел. ( 2 взрослых и 2 детей) сумма не более 65000 р. Квартира 2-х ком."
4,20755551,"Ищем жильё в Лазаревском,желательно улица Павлова,не далеко от моря (5 мин.) в период с 10.06 по 26.06. Взрослых 2,детей 2 по 7 лет.Рассмотрим все варианты"
8,154176552,"Здравствуйте, интересует жилье на 8 человек (4взр,4 реб) на период с 08.07-17.07, цена и адрес? Спасибо"
1,436988893,Интересует жилье на одного человека с 08.07. до 15.07. Не далеко от пляжа 🤗
3,116954663,"Здравствуйте, интересует жилье с 17.08 по 25.08 двое взрослых и девочка 14 лет."
2,82784856,Здравствуйте! Интересует жилье с 11 по 22 августа. Один взрослый и ребенок.
2,394028741,"Здравствуйте, интересует жильё с 7.09 по 14.09. На двоих взрослых. Цена"
3,143782331,Здравствуйте. Интересует жилье 3 местный номер.с20 .06 по 28.06 не далеко от моря.
4,165421719,"Добрый День!! Семья 4 человека, 2 взрослых, дети 10 и 3 года, ищем жилье, можно 3-х местный с доп.местом. С 1 июля поближе к морю и не дорого

😉"
3,7602210,"Ищем жильё для 2-х взрослых, ребёнок (7 лет) и собака. Только Чёрное море, не Крым и Анапа. 
С 15 июля на 10 дней. 
Предложения в личку."
3,72702202,"Ищу жилье, интересует Пицунда, песчаный пляж, недалеко от моря. С 20-22 на 10 дней, 2 взрослых + 1 ребенок 2,5 года Рассмотрю все варианты."
3,24429619,"Интересует жилье в Сочи у пляжа ""Ривьера"" (максимально близко к морю!!!) с 8 по 15 июля. 1 номер/квартира/комната, 3 человека. Предложения в л/с"
6,204925103,"Ищем жилье на начало августа. Двое взрослых и четыре ребенка - 13, 8 , 4 и 1 годик. Желательно отдельная квартира."
2,245617104,Приезжаем 3 июля в Лоо. Семейная пара. Ищем жильё до 1300р за сутки. На 5-6 дней. С предложением в лс. Всем спасибо.
3,131617606,Добрый вечер. Ищем жилье с 17.08 на 10 дней. Желательно с бассейном. 2е взрослых и ребенок 5 лет
4,13769140,"Лазаревское, Солоники - бюджетное жилье на 3 суток 4 взрослых с 5.09 интересует. Только в личку."
4,136293583,"Здравствуйте, ищем жилье с 10.08по 20.08,два взрослых,два ребенка,не далеко от моря."
3,219105839,"Здравствуйте. Интересует жильё в Лазаревском. 3е взрослых. 
Со своим сан узлом и желательно с балконом. Не больше 10мин до моря. 
По приемлемым ценам. 
С 4 августа дней на 7-10"
3,359673002,Ищем жильё с 18-19 августа на 7 дней.Частный сектор.Обязательно с местом для парковки легковой машины.Нас 3 взрослых.
3,258222164,"Добрый день. Ищем  комфортное жильё в Лазаревском. 
2 взрослых и Ребенок 3 года 
С 15 по 22 августа."
4,470788217,"Ищем жильё в Лазаревское заезд 13 июля на 10 дней, 2 взр, дети 2 года и 5 лет, предпочтения душ, туалет, холодильник, кондиционер в номере, парковка для авто,  рассмотрим варианты, не курим"
4,214627751,Здравствуйте! Интересует жилье недорого 1-10 сентября.2 взр и 2 детей-1 номер нужен.В ЛС.
4,68345567,"Добрый день , интересует жильё , можно эконом с 19 по 29 августа , нужно два двухместных номера , или 1 на 4х человек"
2,477872593,Добрый день. Сниму жильё на 2 недели. Конец августа-начала сентября. Два взрослых человека. По адекватной цене в приличном месте. Пишите в лс.
2,29646178,Ищем жилье на 2их(взрослый и ребенок(9лет))Номер со всеми удобствами.....до моря не дольше 10мин .....оборуд.пляжи......в шаговой доступности развлекательная инфрастуктура...середина июня
2,54215543,"Ищем жилье в Лазаревском с 12 по 18 августа. 
Не дороже 1000р за комнату. Нас двое."
2,37583310,"Ищем жильё эконом класса, до 1000 на двоих, с 7 по 15 августа, недалеко от моря. Писать в личку"
2,145108184,Ищем жилье эконом с 6 по 16 сентября для женщины с ребенком 6 лет недалеко от моря.Пишите в личку
3,84564596,Добрый день. Ищем жильё в Лазаревском. С 10.08.2018 по 26.08.2018. Два взрослых и ребенок 10 лет.
4,17027538,Здравствуйте! Ищем жильё на августа числа с 6-7 на недельку. 2 взрослых и 2 ребенка 6 и 9 лет! Желательно номер в пределах 2000 или 500р с человека
11,223485927,"Ищем жилье с 16.08-24.08, желательно дом на 4 семьи,6 взрослых и 5 детей"
2,78108095,"Здравствуйте🤗
Ищем жильё в центре рядом с морем🌊
Цена за номер до2️⃣0️⃣0️⃣0️⃣руб с удобствами 🚿
Приезжаем парой с 10 августа по 18 августа 📆"
3,86482847,Здравствуйте! Ищем жильё с 15  по 23 августа 2 взрослых 1 ребёнок 6 лет. И сколько будет по цене?
2,24824783,Сниму жилье в июне у моря 2 взрослых до 1500 в сутки
2,255826470,"Ищем жилье в Лазаревском с 12.09. по 20.09. Семейная пара,только частный сектор."
5,137033136,Добрый день интересует жилье семья 5 человек двое взрослых и трое детей с 20 по 30 сентября на берегу моря цена пожайлуста в личку
3,17642481,Добрый день! Интересует жилье с 10-20 мая. 2 взрослых 1 ребенок. В Лазаревском
4,14837379,"Добрый день,интересует жильё с 11.08 по 23.08 эконом на 4 чел,2 детей и 2 взрослых."
3,79737918,Добрый день!Ищем жилье с 25.04-05.05 2 взрослых + ребенок 3х лет!Душ и туалет в номере!
2,5596251,"здравствуйте. с 24 июля по 1 августа ищем жилье для 2-х взрослых эконом. стоимость подскажите, пожалуйста?"
3,49704706,ищем жилье на 10 дней с 25 июля по 4-5 августа на 3 человек
2,39677362,"Здравствуйте! Ищем жилье в частном секторе эконом на 2х человек, какие цены?"
2,339982855,"Здравствуйте! Ищем жилье в частном секторе эконом на 2х человек в период с 4 по 13июля.(ул.Переулок Победы,ул.Свирская,ул.Седова). Рассмотрим все варианты."
4,16515566,"Здравствуйте, интересует жилье п.Лазаревское 2 взр + 2 реб. 6 и 8 лет с 08.08 по 21.08? Недорого! Рядом с морем!"
5,154900963,"Снимем жилье в Лазаревском с 30.07 по 09.08.15 г. Нас 3 взрослых, 
2 детей 5 лет и 3,9 лет."
1,237679797,"А море то далеко? Или есть какие то тайные тропы? 
Если я сниму жильё на этой улице , сколько мне пешком идти до моря ? А главное - сколько мне пешком идти обратно ? В гору. По жаре ."
3,69438266,"Здравствуйте ищем жилье в Сочи с 14.08 на 7 ночей,2 взрослых 1 ребенок 4 года,недалеко от моря,развлечений,во дворе с игровой площадкой и желательно с бассейном.Предложения пожалуйста в личные сообщения😊"
1,3015738,Здравствуйте! Интересует жилье на срок более года!?? Буду жить я
4,414557480,Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей
4,31701880,Здравствуйте. Ищем жилье с 27.06 по 5.07 на 4 человека (1 взрослая пара и мама с ребенком 6 лет).Недалеко от пляжа. Предложения в личку.
4,144045291,"Доброе время суток) Ищем жильё- эконом, с  8 июля по 14 июля , 2 взрослых и 2 детей ( 8 и 13 лет), в шаговой доступности от моря, рядом магазины, окраины не предлагать!! Желательно с бассейном."
