text_id,text,job_title,company,salary,tg,grade
9,"#вакансия #vacancy #Python #удаленка #flask #relocation #senior

Позиция: Senior Python developer
Компания: Collectly
Формат работы: Удаленно (не на территории РФ/РБ)
Вилка: 6000-9000$.net
Трудоустройство: ИП или ТК Армении
Занятость: fulltime

Контакты: @ann_gfio

Collectly - американская технологическая компания, прошедшая акселератор Y Combinator, специализирующаяся на автоматизации биллинга в медицинской сфере США. За почти 4 года существования компания стала прибыльной и стабильной, а также приобрела статус быстрорастущей организации.

Collectly - первая в мире система, обеспечивающая автономное взаимодействие американских медицинских учреждений с пациентами в отношении медицинских счетов. Компания помогает пациентам разобраться в страховых планах, оплатить счета и получить финансовую помощь, снижая операционные расходы медицинских учреждений. Работа компании Collectly решает важные социальные проблемы в США и получает признание ведущих отраслевых журналов.

🔎 Кого ищем? 

Мы ищем сильного инженера, который готов работать в маленькой, но быстрорастущей технической команде: нужно уметь решать практические задачи просто (=> быстро), при этом свобода выбора за решение лежит на вас. Но и ответственность тоже! 

Процессы и инструменты:
- Недельные спринты с одним большим совещанием. JIRA для задач, Slack и Zoom для общения;
- Внедрен CI/CD на основе Gitlab, тесты в пайплайне. Релизы каждой фичи независимые. Кто фичу писал — тот за неё и ответственный;
- Code review перед Merge Request, посмотреть может каждый.

Стек:
Python, Flask, SqlAlchemy, PostgreSQL, Marshmallow, Celery, RabbitMQ, Redis. Custom REST API framework.

Требования:
- У вас должен быть практический опыт коммерческой web разработки от 4 лет и более;
- Есть большой опыт работы с SQLAlchemy;
- Хорошо знаете английский язык - В2 и выше;
- Опыт работы с асинхронным кодом.

Мы предлагаем:
- Полностью удаленная full-time вакансия; 
- Опцион (право на получение акций) в американском стартапе.",Python developer,Collectly,6000-9000 $,@ann_gfio,senior
31,"#ВАКАНСИЯ  #Системный_аналитик #РФ
 
АКЦИОНЕРНОЕ ОБЩЕСТВО «ГЛАВНЫЙ НАУЧНЫЙ ИННОВАЦИОННЫЙ ВНЕДРЕНЧЕСКИЙ ЦЕНТР» (АО «ГНИВЦ») - ведущий разработчик автоматизированных информационных систем, программных комплексов для налоговых органов, банков, органов государственной и муниципальной власти, муниципальных образований приглашает в команду на должность СИСТЕМНОГО АНАЛИТИКА . 
 
ПРОЕКТ: Озеро данных
Проект вакансии разработка и доработка высонагруженной системы с использованием подходов микросервисной архитекторы по запуску и управлению несколькими тысячами информационных потоков в разнородных вычислительных средах. Back-end приложения 
ЗАРАБОТНАЯ ПЛАТА: 320 000 - 370 000 рублей 
ЧТО ПРЕДСТОИТ ДЕЛАТЬ: 
• Участие в проектировании и проектирование архитектуры инструментария существующей платформы. 
• Сбор, оформление и формализация требований на разработку (доработку) инструментария существующей платформы. 
• Исследование, оптимизация и формализация существующих процессов работы с инструментарием платформы. 
• Оформление структурированных документов (документирование) на инструментарий и процессы платформы с применением корпоративных стандартов. 
• Оформление диаграмм в нотациях: UML, ER. 
• Аналитическое тестирование инструментария платформы. 
• Поддержка пользователей по разработанному инструментарию платформы. 
• Исследование и анализ данных, построение и подтверждение гипотез происхождения данных. 
• Проектирование и участие в разработке структур данных (таблиц, представлений, хранимых процедур). 
• Контроль качества данных. 
• Участие в планировании и решение запланированных задач. 
 
ЧТО МЫ ОЖИДАЕМ ОТ ВАС: 
• Умение и наличие желания осуществлять документирование информационных систем с применением корпоративных стандартов. 
• Знание и понимание методологии проектирования информационных систем, в том числе с использованием микросервисной архитектуры, опыт проектирования одной или более информационных систем. 
• Знание и понимание методологий работы с хранилищами данных (в том числе с распределёнными). 
• Опыт работы с любой(ыми) СУБД; Oracle, PostgreSQL, MS SQL, Hive. 
• Знание и умение применять SQL. 
• Знание и умение работать с системами контроля версий. 
• Умение и желание решать нестандартные аналитические задачи под ключ. 
• Умение и желание работать в команде профессионалов. 
 
МЫ ПРЕДЛАГАЕМ: 
• Удаленный формат работы на территории РФ; 
• Пятидневную рабочую неделю (Пн. – Чт. с 09.00 до 18.00, Пт. с 09.00 до 16.45); 
• Высокую заработную плату по результатам собеседования, премии за эффективную работу и результат; 
• Оформление в соответствии с требованиями ТК РФ: оплачиваемые отпуска + доплата к отпуску 50% от оклада через 11 месяцев работы в Компании, выплата заработной платы дважды в месяц и др.; 
• Компенсация Больничный листа продолжительностью до 7 дней с сохранением полной оплаты, какая была бы в случае нахождения на работе. 
 
И ПЛЮШКИ: 
• Профессиональное обучение и сертификация за счёт компании - мы организуем митапы, хакатоны, конференции, семинары и тренинги: как внутренние, так и внешние. 
• ДМС по окончании испытательного срока, с огромным перечнем лучших медучреждений и включая классную стоматологию; 
• Партнерские программы по обучению иностранному языку и прокачки скиллов от Skyeng и Skillbox; 
• Доступ к корпоративной библиотека на платформе Alpina Digital; 
• Возмещение до 50 % затрат на занятие спортом; А также, множество других приятных и интересных бонусов и преференций. 
 
КОНТАКТ: @NatalyaMaki",СИСТЕМНОГО АНАЛИТИКА,АКЦИОНЕРНОЕ ОБЩЕСТВО «ГЛАВНЫЙ НАУЧНЫЙ ИННОВАЦИОННЫЙ ВНЕДРЕНЧЕСКИЙ ЦЕНТР»,"from 320,000 rubles up to 370,000 rubles",@NatalyaMaki,"middle, middle+"
28,"#вакансия #vacancy #job #senior #data #DB #database #engineer #architect #administrator #blockchain #crypto #fulltime #удаленка  #Match_Systems

Вакансия: Senior Database Administrator
Компания: Match Systems — продукты в сфере blockchain. Работа удаленно, с перспективами релокации или без перемещения (по выбору сотрудника)
Продукт : связан с разработкой программного комплекса для анализа и отслеживания блокчейн-транзакций для различных криптовалют (AML - anti money laundering) ; создание экосистем для принятия платежей и обмена криптовалют
Локация компании: Сингапур, Дубай, Москва, Казахстан 
Зарплатная вилка: от 3000$ (определяется по результатам собеседования) 
Занятость: полная (на протяжении стажировки возможна частичная)

Задачи :
- Проектирование структуры хранения данных из сети блокчейн;
- Оптимизации запросов к данным, консультации разработчиков;
- Поддержка заданного уровня производительности при росте объемов данных.
- Создание\мониторинг\поддержание ETL\ELT процессов для данных различных сетей блокчейн;

Стек : Neo4j, ClickHouse, PostgreSQL, ElasticSearch, Kafka, Debezium, Airflow.

Требования :
     I. Обязательно:
- Уверенные знания SQL;
- Понимание физической логики исполнения запросов к БД (планы запросов);
- Опыт проектирования БД;
- Опыт работы с нагруженными БД, опыт решения проблем производительности;
- Знание как реляционных так и NoSQL СУБД.
- Опыт разработки промышленных ETL\ELT решений;
     II.  Желательно:
- Общее понимание технологий Blockchain;
- Опыт промышленной эксплуатации ClickHouse;
- Владение хотя бы одним языком разработки;
- Опыт промышленной эксплуатации Neo4j, знание языка Cypher;

Условия:
- Работа удаленно ;
- Фиксация зарплаты в долларе ;
- Конкурентный уровень ЗП ;
- Интересные задачи, обмен опытом в востребованной сфере с более опытными специалистами.

Для связи :
@lex_kertis",Senior Database Administrator,Match Systems,from 3000$,@lex_kertis,senior
49,"#вакансия #fulltime #remote 

🔎 Ищем Руководителя отдела системного администрирования в финтех продукт 🔍

📍 УДАЛЕННО (кроме РФ)
______

💰ЗП:  от 3000$ + ДМС, техника
+ регулярный пересмотр грейда и ЗП

Мы финтех компания, которая занимается разработкой платежных решений на международном рынке. 

Разрабатываем классный платежный сервис, с возможностью как карточных переводов так и крипты, которые соответствуют требованиям МПС. 

Наш проект помогает онлайн-бизнесу создавать возможности для развития и выхода на новые страны.

📍На данный момент ищем Руководителя отдела системного администрирования в команду.

☑️ Чем предстоит заниматься: 
* управлять операционной деятельностью отдела, инициировать, распределять и контролировать задачи;
* участвовать в процессах запуска продуктов с последующей поддержкой систем;
* вести бюджет, проводить анализ и оптимизацию затрат.

💡 Наш идеальный напарник:
* понимание Devops практик, знание как работают с системы виртуализации (kubernetes);
* опыт управления командой;
* умение готовить инфраструктуру под проекты в соответствии с парадигмой Infrastructure As Code (terraform, ansible);

Будет преимуществом:
* понимание работы реляционных и не реляционных СУБД,

🔥Взамен приготовили для вас:

* белая ЗП + регулярные пересмотры;
* удаленный формат работы;
* отличная техника;
* обеспечиваем хорошей ДМС;
* корпоративный английский, компенсация фитнеса;
* поддержка психолога и юриста;

ВАЖНО: оформление официальное, если вы в Грузии, Кипре либо Казахстане. 

Если находитесь в других странах, то выплаты просто на карту в USDT
—————

Обсудим? @ResearcherRIT",Руководитель отдела системного администрирования,финтех компания,from 3000 $,@ResearcherRIT,"middle, middle+"
18,"#vacancy #job #analyst #travel #sirenatravel #fulltime #вакансия #работа

Вакансия: Analyst
Компания: Sirena Travel
Продукт: Mixvel
Местоположение: Россия, Москва
Вилка: 120-180к. net (готовы к обсуждению)
Формат работы: Удаленно/офис

О компании:
Mixvel - это полностью автоматизированная B2B highload система бронирования, объединяющая весь контент travel рынка, включая расписание рейсов, стоимость билетов и многое другое. Клиентами компании являются Ozon.travel, OneTwoTrip и Kupibilet.

В связи с ростом и развитием продукта, компания в поисках самостоятельного и опытного аналитика, который отлично разбирается в системах и бизнес-процессах. 

Используемые инструменты:
Jira, Confluence, программы - тарифные системы, BI системы финтех, инструменты моделирования, визуализации бизнес-процессов. 

⚡ Тебе предстоит:
- Анализировать, структурировать, моделировать  существующие -бизнес-процессов и построение БП с ""0"" в формате “As Is” - ”To Be”;
- Организовывать и проводить диагностики сквозных бизнес процессов;
- Заниматься подготовкой технических заданий, бизнес требований по доработкам системы;
- Валидировать и верифицировать ТЗ, ФС и ФД, разработанных внешними и внутренними исполнителями, перед запуском их в разработку;
- Разрабатывать и поддерживать в актуальном состоянии внутренних нормативных документов (регламенты, положения, инструкции);
- Обеспечивать процесс внедрения и функционирования разработанных нормативных документов;
- Эффективно взаимодействовать со смежными структурными подразделениями.

🚀 Мы ожидаем, что ты обладаешь:
- Опытом работы в аналогичной должности от 2-х лет;
- Умением разрабатывать и внедрять IT-проекты;
- Знаниями и опытом работы с тарифными системами, BI-системами и Финтех;
- Знаниями методологии моделирования бизнес-процессов и опытом работы с инструментарием моделирования;
- Знаниями и опытом работы по методологиям Agile/Scrum/Kanban;
- Опытом разработки нормативной документации;
- Опытом работы в авиа/travel/IT отраслях будет преимуществом.

💗 Мы предлагаем:
- ДМС в Московском регионе или компенсацию через год работы при самостоятельном приобретении в твоем регионе;
- Гибкое начало и окончание рабочего дня;
- Возможность работать в стабильной и развивающейся компании с 20-летней историей и уникальной отраслью;
- Поддержку руководителей, способствующих развитию вертикального и горизонтального роста;
- Максимально комфортную обстановку и атмосферу в компании без жестких систем учета;
- Атмосферу стартапа с различными мероприятиями. 

Контакт: @ann_gfio",Analyst,Sirena Travel,"120,000-180,000 RUB",@ann_gfio,"middle, middle+"
48,"#вакансия #fulltime #remote #lookfor #devops

В международную компанию ищем Senior DevOps инженера
Компания: Mad Devs
Вакансия: DevOps инженер
Вилка: до 5000$
Формат работы: удаленка, локация не важна

☑️Наши требования:
- Опыт работы с AWS в коммерческом проекте от 2х лет
- Знание концепций облака и способов разработки безопасных и высокодоступных решений в облаке
- Опыт работы по оптимизации затрат на инфраструктуру
- Обширный опыт работы с подходом с Terraform и Terragrunt (написание своих модулей, multi-account structure )
- Опыт работы с EKS в коммерческом проекте (Знание его особенностей)
- Работа с системами мониторинга, логирования, оповещения и управления инцидентами
- Развертывание тестовых сред/инфраструктур для бэкэнда, фронтенда и мобильных устройств
- Уровень английского B1+

☑️Будет плюсом:
- Сертификация AWS (системный администратор/разработчик/архитектор)
- Разговорный английский
- Опыт построения инфраструктуры в соответствии с: HIPAA, GDPR, PCI DSS, ISO 27001, СНГ
- Опыт работы с Ansible
- Опыт работа с AWS Code Commit, AWS Code Build, AWS Code Deploy. 

☑️ Условия:
- Отличные коллеги и руководители
- Конкурентная заработная плата, долларовая привязка ставки
- Фуллтайм
- Официальное трудоустройство, юридическая помощь в оформлении сотрудничества
- Экспертная команда разработчиков 
- Руководство компании имеет инженерное образование. Мы регулярно проводим инженерные встречи, на которых обсуждаем трудности, с которыми сталкиваемся в процессе работы, и технологические новинки.
- Возможность обучения за счет компании: курсы, электронная библиотека, участие и выступления на конференциях. Мы сами регулярно выступаем с докладами на таких конференциях, как FOSDEM, TeamLeadConf, Golang Conf, GDG DevFests и других, поэтому поможем с подготовкой доклада.

Контакт: @recruiter_maddevs 
‼️Присылать CV с пометкой DevOps‼️",DevOps инженер,Mad Devs,up to 5000 $,@recruiter_maddevs,senior
41,"#вакансия #senior #middle+ #lead #удаленка #офис #fulltime #Platforma #SystemsAnalyst
◽️Вакансия: Системный аналитик
◽️Гражданство: РФ (локация не имеет значение) 
◽️Заработная плата: 180 000 - 300 000 на руки 
◽️Занятость: Полный день
◽️Компания: Платформа
◽️Требуемый опыт работы: более 3 лет в системном анализе

✅ Привет!
Мы разрабатываем проект, аналогов которому нет на рынке России. Разработка идёт уже 4 месяца и сейчас нас порядка 40 человек в 3 командах, планируем запустить ещё 3.

Наша задача построить платформу, которая в автоматическом режиме будет изготавливать проектную документацию для многоквартирного дома без участия человека.

✅ Требования:

- Понимание специфики строительного процесса и опыт в BIM от 3х лет;
- Опыт работы в роли IT Product/project manager продуктах;
- Практический опыт взаимодействия с командой разработки для координации сроков проекта — высоко организованы, проактивны, знаете Agile;
- Высшее строительное образование.


✅ Тех стек команды: С#/ .NET 7.0/ SberCloud – далее технологии будут добавлять, ограничений нет 


✅ Что мы можем предложить:

- Интересные и нетривиальные задачи;
- Увлеченная и сплоченная команда;
- Трудоустройство по ТК РФ;
- Конкурентоспособная белая заработная плата.

📱Писать/резюме:
Тг - @Alexandrabogdanova_96",Системный аналитик,Платформа,"180,000-300,000 RUB",@Alexandrabogdanova_96,"middle+, senior, lead"
6,"#job #python #django #javascript #react #fullstack #remote

Привет! Мы - ivelum
Вакансия: Python/Django full-stack разработчика (https://job.ivelum.com/python/) (ссылка ведет на сайт вакансии - там подробнее о проектах и есть видео про вакансию)
Формат работы: full-time, удалённо
Стек технологий: Python 3.11, Django 4, React.js, GraphQL, Docker, AWS
З/п: $4000 - $6000

География: к сожалению, сейчас мы не можем заключать контракты с разработчиками, находящимися на территории РФ и Белорусси
Если вы являетесь гражданами указанных стран, но проживаете в другом месте - откликайтесь!

Технологии и процессы:
Python 3.11, Django 4, React.js, GraphQL, Docker, AWS. Все наши проекты глубоко автоматизированы, включая развертывание как продакшен-инфраструктуры, так и локального окружения разработки. Мы активно применяем автоматизированное тестирование, линтеры и code review

Условия:
🔹удаленка, свободный график, полная занятость. Работа с частичной занятостью не рассматривается;
🔹корпоративный Macbook или денежная компенсация на покупку собственного оборудования;
🔹курсы английского с профессиональным преподавателем - носителем языка;
🔹пакет компенсаций, который вы можете потратить на здоровье, поездки, апгрейд личной техники для работы и не только
(подробнее в нашей классной wiki (https://github.com/ivelum/job/wiki))

О вас:
🔸не меньше 4-х лет опыта в веб-разработке,
🔸вы готовы работать как над бекендом, так и над фронтендом, и инфраструктурная часть вам также не чужда,
🔸все технологии из нашего стека знать необязательно, но, как минимум — опыт работы с Python, JavaScript и Linux,
🔸русский язык — обязательно, т.к. у нас русскоязычная команда,
English — достаточно уровня Intermediate и готовности его улучшать (у нас налажено корпоративное обучение английскому).

Как откликнуться: у нас есть анкета (вместо резюме) (https://job.ivelum.com/python/form/)
Будут вопросы -> пишите мне @lebedevaoi",Python/Django full-stack developer,ivelum,$4000-$6000,@lebedevaoi,"middle, middle+"
17,"#вакансия #vacancy #middle #senior #remote #удаленно #fulltime  #go 

Go разработчик (middle, senior)

Зарплата: до 500 т.р. на руки (зп определяется по итогам тех.собеса)

КА Алешин Д.А.

Формат работы: полная занятость, удаленная работа или офис г.Москва

Проект: 
Команда занимается комплексной автоматизацией цифровой экосистемы крупного ритейлера уже более 12 лет. В составе направления более 250 IT-специалистов уровня middle и senior.

Обязанности:
-участвовать в разработке архитектуры новых сервисов
- создавать новые REST API, поддерживать и оптимизировать существующие
- изучать и внедрять новые технологий
- разрабатывать микросервисы
- участвовать в планировании задач команды
- писать unit тесты

Требования:
- знание русского языка для общения внутри команды
- опыт разработки на Go от 2 лет;
- опыт работы с Docker, MSSQL, Git;
- понимание многопочности, параллельных вычислений и широко используемых структур данных и алгоритмов.

Условия:
- график работы 5/2 с 9 до 18 по мск
- работу в аккредитованной ИТ-компании
- возможность удаленной работы, а также в офисе в Москве (м. Румянцево)
- официальное оформление с первого дня работы по ТК РФ, возможно оформление по ИП/ГПХ
- поддержка куратора во время адаптации
- внутреннее обучение soft & hard skills, создание индивидуального плана развития
- партнерскую программу «Зелёный свет»: за рекомендации знакомых специалистов можно получить до 80 000 руб
- система бенефитов: компенсация медицинских расходов, возможность беспроцентного займа, компенсация обучения, спортивных занятий и затрат на обучение детей программированию
- богатый опыт сплоченной и профессиональной команды

Резюме присылать: @AleshinDmitry80",Go разработчик,КА Алешин Д.А.,up to 500k rubles,@AleshinDmitry80,"middle, senior"
4,"Вакансия: Разработчик (Vue.js / Golang) для написания телеграм приложения (апки) 

Требования:
- Опыт работы с Vue.js для фронтенда.
- Знание Golang для бэкенда.
- Рассматривает джунов в том числе

Условия:
- Работа удаленно.
- Фриланс.
- Оплата за проект, поэтапная оплата.
- Заинтересованы? Пишите в лс с пометкой РАБОТА и отправляйте сразу резюме. В ответ вы получите полное ТЗ.",Разработчик (Vue.js / Golang) для написания телеграм приложения,,"Оплата за проект, поэтапная оплата",,junior
